"fipstate","year","naics","emp","qp1","ap","est"
"09",1998,"325///",16028,274734,1152289,166
"09",1998,"326///",10692,83581,370068,266
"09",1998,"327///",2685,23299,113235,149
"09",1998,"331///",5828,56631,244108,97
"09",1998,"332///",43452,397107,1740229,1498
"09",1998,"333///",24635,273864,1105533,641
"09",1998,"334///",23161,252412,1037490,390
"09",1998,"335///",14318,130703,558365,226
"09",1998,"336///",49437,612431,2457799,218
"09",1998,"337///",3018,22466,103008,243
"09",1998,"339///",15481,132641,586887,447
"09",1998,"421///",41992,521019,2236175,3480
"09",1998,"422///",31090,372965,1567851,1762
"09",1998,"441///",20570,160196,753893,1346
"09",1998,"442///",6765,35752,161852,924
"09",1998,"443///",4278,26822,115463,592
"09",1998,"444///",15208,98890,471568,1176
"09",1998,"445///",42955,171069,700073,2212
"09",1998,"446///",15205,61240,261720,1081
"09",1998,"447///",8487,31543,136937,1331
"09",1998,"448///",19915,69140,302260,2067
"09",1998,"451///",8493,28165,126396,1004
"09",1998,"452///",24634,79323,331909,326
"09",1998,"453///",10432,37990,176044,1582
"09",1998,"454///",13015,105670,451573,816
"09",1998,"481///",1103,9290,37592,43
"09",1998,"483///",957,12848,62920,39
"09",1998,"484///",7177,53893,244930,676
"09",1998,"485///",9101,37542,162128,314
"09",1998,"486///",0,0,0,5
"09",1998,"487///",0,0,0,13
"09",1998,"488///",3200,34559,145057,304
"09",1998,"492///",7378,56251,224665,109
"09",1998,"493///",727,4490,20584,46
"09",1998,"511///",16022,193837,820646,551
"09",1998,"512///",2118,10185,48364,258
"09",1998,"513///",19616,258896,980230,410
"09",1998,"514///",8910,91273,359678,320
"09",1998,"521///",0,0,0,1
"09",1998,"522///",30037,408431,1576818,2086
"09",1998,"523///",13591,903181,2893695,1285
"09",1998,"524///",78478,1257152,4600909,2266
"09",1998,"525///",0,0,0,19
"09",1998,"531///",14436,115073,499883,2575
"09",1998,"532///",6598,40960,185571,712
"09",1998,"533///",143,1475,7548,33
"09",1998,"541///",78060,967912,4410149,10200
"09",1998,"551///",46524,1238100,4414580,638
"09",1998,"561///",94467,484587,2250505,5146
"09",1998,"562///",4423,36185,184294,315
"09",1998,"611///",48791,320436,1356645,967
"09",1998,"621///",71609,575881,2694930,6539
